symbol,timeframe,sample,variant,start,end,final_equity,total_return_pct,max_drawdown_pct,trade_count,profit_factor,expectancy,win_rate_pct,avg_win,avg_loss,exposure_time_pct,sharpe_simplified,avg_trade_duration_bars,exit_breakdown,side_breakdown
BTCUSDT,1h,full,both,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,10078.099992030913,0.7809999203091333,3.122877338122121,41.0,1.1549533981908675,3.687324792319309,31.70731707317073,86.6792717644904,-34.84465058761727,1.8752448100274186,0.2306354012021287,9.341463414634147,"{""stop_loss"": {""count"": 24.0, ""mean"": -34.47461063114051, ""sum"": -827.3906551473722}, ""take_profit"": {""count"": 13.0, ""mean"": 86.6792717644904, ""sum"": 1126.8305329383752}, ""trend_invalid"": {""count"": 4.0, ""mean"": -37.06489032647785, ""sum"": -148.2595613059114}}","{""long"": {""count"": 19.0, ""mean"": -5.448040528604088, ""sum"": -103.51277004347767}, ""short"": {""count"": 22.0, ""mean"": 11.576958478571326, ""sum"": 254.69308652856918}}"
BTCUSDT,1h,full,long_only,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,9855.212599737373,-1.4478740026262704,3.775157073935065,19.0,0.8101456438367863,-5.249822786861959,26.31578947368421,85.12767555637745,-37.527500766590315,0.7980806893850372,-0.5793853647651293,8.578947368421053,"{""stop_loss"": {""count"": 11.0, ""mean"": -37.793294895576516, ""sum"": -415.7262438513417}, ""take_profit"": {""count"": 5.0, ""mean"": 85.12767555637744, ""sum"": 425.6383777818872}, ""trend_invalid"": {""count"": 3.0, ""mean"": -36.552922293640925, ""sum"": -109.65876688092277}}","{""long"": {""count"": 19.0, ""mean"": -5.24982278686196, ""sum"": -99.74663295037723}}"
BTCUSDT,1h,full,short_only,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,10226.161932112429,2.2616193211242974,1.6611322909159898,22.0,1.5691082142000603,11.532344783961573,36.36363636363637,87.43963856869486,-31.843251664457448,1.0771641206423817,0.8385106842064884,10.0,"{""stop_loss"": {""count"": 13.0, ""mean"": -31.46883518883288, ""sum"": -409.09485745482743}, ""take_profit"": {""count"": 8.0, ""mean"": 87.43963856869486, ""sum"": 699.5171085495589}, ""trend_invalid"": {""count"": 1.0, ""mean"": -36.71066584757682, ""sum"": -36.71066584757682}}","{""short"": {""count"": 22.0, ""mean"": 11.532344783961575, ""sum"": 253.71158524715463}}"
BTCUSDT,1h,in_sample,both,2024-01-01 00:00:00+00:00,2025-06-30 23:00:00+00:00,10151.828541411916,1.5182854141191582,3.122877338122121,21.0,1.455368519866633,8.978574150538162,33.33333333333333,86.08720367280944,-29.575740610597475,1.4853747714808043,0.5506510214697998,9.285714285714286,"{""stop_loss"": {""count"": 12.0, ""mean"": -29.35919912330125, ""sum"": -352.31038947961497}, ""take_profit"": {""count"": 7.0, ""mean"": 86.08720367280944, ""sum"": 602.6104257096661}, ""trend_invalid"": {""count"": 2.0, ""mean"": -30.87498953437482, ""sum"": -61.74997906874964}}","{""long"": {""count"": 11.0, ""mean"": 3.56731321061355, ""sum"": 39.24044531674905}, ""short"": {""count"": 10.0, ""mean"": 14.930961184455239, ""sum"": 149.3096118445524}}"
BTCUSDT,1h,in_sample,long_only,2024-01-01 00:00:00+00:00,2025-06-30 23:00:00+00:00,10015.000131165692,0.1500013116569221,2.97195806430276,11.0,1.1311705657769815,3.6039674523765086,36.36363636363637,85.46833784314123,-43.17567277091762,0.617001828153565,0.08674671640271193,7.363636363636363,"{""stop_loss"": {""count"": 6.0, ""mean"": -46.22406033901395, ""sum"": -277.3443620340837}, ""take_profit"": {""count"": 4.0, ""mean"": 85.46833784314123, ""sum"": 341.8733513725649}, ""trend_invalid"": {""count"": 1.0, ""mean"": -24.88534736233968, ""sum"": -24.88534736233968}}","{""long"": {""count"": 11.0, ""mean"": 3.603967452376502, ""sum"": 39.643641976141524}}"
BTCUSDT,1h,in_sample,short_only,2024-01-01 00:00:00+00:00,2025-06-30 23:00:00+00:00,10136.623473244324,1.366234732443239,1.6550351180749767,10.0,2.3560114261781826,14.84815983318717,30.0,85.99345981251379,-15.642683015095665,0.8683729433272395,0.6803772851170208,11.4,"{""stop_loss"": {""count"": 6.0, ""mean"": -12.131352543015472, ""sum"": -72.78811525809283}, ""take_profit"": {""count"": 3.0, ""mean"": 85.99345981251379, ""sum"": 257.9803794375414}, ""trend_invalid"": {""count"": 1.0, ""mean"": -36.71066584757682, ""sum"": -36.71066584757682}}","{""short"": {""count"": 10.0, ""mean"": 14.848159833187173, ""sum"": 148.48159833187174}}"
BTCUSDT,1h,out_of_sample,both,2025-07-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,9847.267253356213,-1.5273274664378778,2.369938070577049,19.0,0.7822624564419132,-6.2883401868223885,26.31578947368421,85.84970222491899,-39.19478390530144,2.330043859649123,-0.6814687653273914,8.947368421052632,"{""stop_loss"": {""count"": 12.0, ""mean"": -38.68323680823698, ""sum"": -464.1988416988437}, ""take_profit"": {""count"": 5.0, ""mean"": 85.84970222491899, ""sum"": 429.2485111245949}, ""trend_invalid"": {""count"": 2.0, ""mean"": -42.26406648768822, ""sum"": -84.52813297537644}}","{""long"": {""count"": 7.0, ""mean"": -31.778313423886093, ""sum"": -222.44819396720266}, ""short"": {""count"": 12.0, ""mean"": 8.580810868131454, ""sum"": 102.96973041757745}}"
BTCUSDT,1h,out_of_sample,long_only,2025-07-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,9761.046329046467,-2.3895367095353337,2.4628033342307565,7.0,0.0,-31.57472270011152,0.0,0.0,-31.57472270011152,0.8771929824561403,-1.855174053024642,9.142857142857142,"{""stop_loss"": {""count"": 5.0, ""mean"": -27.411929389628447, ""sum"": -137.05964694814224}, ""trend_invalid"": {""count"": 2.0, ""mean"": -41.98170597631918, ""sum"": -83.96341195263837}}","{""long"": {""count"": 7.0, ""mean"": -31.57472270011152, ""sum"": -221.02305890078063}}"
BTCUSDT,1h,out_of_sample,short_only,2025-07-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,10088.331641304858,0.8833164130485738,1.6611322909159787,12.0,1.312898832262259,8.650972978743699,41.66666666666667,87.11712145123198,-47.396275930176515,1.4528508771929824,0.4968100298784302,8.833333333333334,"{""stop_loss"": {""count"": 7.0, ""mean"": -47.396275930176515, ""sum"": -331.7739315112356}, ""take_profit"": {""count"": 5.0, ""mean"": 87.11712145123197, ""sum"": 435.58560725615985}}","{""short"": {""count"": 12.0, ""mean"": 8.650972978743688, ""sum"": 103.81167574492426}}"
BTCUSDT,4h,full,both,2024-01-01 00:00:00+00:00,2026-04-30 20:00:00+00:00,10105.218153622747,1.0521815362274811,1.5817270417126439,15.0,1.354316157100412,7.71877187850718,33.33333333333333,88.51126818700547,-32.67747627574196,2.134743439091265,0.5032707567598694,7.266666666666667,"{""stop_loss"": {""count"": 10.0, ""mean"": -32.67747627574196, ""sum"": -326.7747627574196}, ""take_profit"": {""count"": 5.0, ""mean"": 88.51126818700547, ""sum"": 442.5563409350274}}","{""long"": {""count"": 6.0, ""mean"": 10.866644347228961, ""sum"": 65.19986608337376}, ""short"": {""count"": 9.0, ""mean"": 5.620190232692675, ""sum"": 50.58171209423407}}"
