symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,notional,margin_used,leverage,gross_pnl,fees,last_bar_funding_pnl,net_pnl,r_multiple,bars_held,exit_reason
BTCUSDT,short,2025-05-15 07:10:00+00:00,2025-05-15 07:25:00+00:00,102196.64445,101928.21555595765,0.0058710342519470065,600.0,300.0,2,1.575955231134935,0.47936961790754606,0.0,1.096585613227389,0.8610119397233474,3,take_profit
BTCUSDT,short,2025-05-23 22:00:00+00:00,2025-05-23 22:45:00+00:00,108215.3394,107808.71314016679,0.004691262965941598,507.6666140740207,253.83330703701034,2,1.907590713734886,0.4053702549737226,0.0,1.5022204587611634,1.0006231864150308,9,take_profit
BTCUSDT,short,2025-05-31 01:05:00+00:00,2025-05-31 01:15:00+00:00,103730.26095,104116.22737537728,0.004176300020664992,433.20869094907005,216.60434547453502,2,-1.6119115902791232,0.3472117173953677,0.0,-1.959123307674491,-1.303272688797789,2,stop_loss
BTCUSDT,short,2025-06-12 11:50:00+00:00,2025-06-12 12:30:00+00:00,107033.63489999999,107031.69133074484,0.0056058453041043345,600.0139995853827,300.0069997926914,2,0.010895348582177231,0.4800068415288734,0.0,-0.4691114929466962,-0.4585470841477604,8,stop_loss
BTCUSDT,short,2025-06-13 02:40:00+00:00,2025-06-13 03:10:00+00:00,103366.95180000001,103926.08903924504,0.0027988791360571475,289.3116047508448,144.6558023754224,2,-1.5649575531155038,0.2320752668219221,0.0,-1.797032819937426,-1.1988440285516109,6,stop_loss
BTCUSDT,short,2025-06-17 16:20:00+00:00,2025-06-17 16:35:00+00:00,104288.12145,104450.44429005995,0.004216116133126026,439.69083133875137,219.84541566937568,2,-0.6843719447515795,0.35202641384890176,0.0,-1.0363983586004812,-0.6927323330684809,3,stop_loss
BTCUSDT,short,2025-06-21 22:45:00+00:00,2025-06-21 23:30:00+00:00,101613.99015,101122.88779595224,0.003920613142913282,398.38914528595075,199.19457264297537,2,1.9254223437953064,0.31794114729124245,0.0,1.607481196504064,1.0757536308001843,9,take_profit
BTCUSDT,short,2025-07-25 05:10:00+00:00,2025-07-25 07:10:00+00:00,115475.22397500002,115310.95565482225,0.0031505035505927366,363.80510313872907,181.90255156936453,2,0.5175279259699659,0.2908370713405953,0.0,0.22669085462937064,0.15148514902767743,24,stop_loss
BTCUSDT,short,2025-08-01 01:05:00+00:00,2025-08-01 01:20:00+00:00,115200.292725,115026.45918020948,0.0029480782696576467,339.6194796407724,169.8097398203862,2,0.5124748959345105,0.2714905937542441,0.0,0.2409843021802663,0.1610235803350916,3,stop_loss
BTCUSDT,short,2025-08-01 08:05:00+00:00,2025-08-01 08:20:00+00:00,114755.50395,114362.90158889028,0.004814583991324171,552.5000122340077,276.25000611700386,2,1.890217042754924,0.4412439229701042,0.0,1.44897311978482,0.9680890149851297,3,take_profit
BTCUSDT,short,2025-08-15 16:20:00+00:00,2025-08-15 16:50:00+00:00,116962.052175,117386.32773969662,0.0032862207323622813,384.36312075712385,192.18156037856193,2,-1.3942631569407165,0.30804820186847537,0.0,-1.702311358809192,-1.1359515900371793,6,stop_loss
BTCUSDT,short,2025-08-19 15:30:00+00:00,2025-08-19 16:35:00+00:00,113998.09335000001,113470.53077129119,0.0036453937276153888,415.5679344582036,207.7839672291018,2,1.9231733153497363,0.331685078240423,0.0,1.5914882371093133,1.0639760461595997,13,take_profit
