timestamp,symbol,cash,unrealized_pnl,equity,close,in_position
2024-01-01 00:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2291.05,0
2024-01-01 00:30:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2295.51,0
2024-01-01 01:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2299.11,0
2024-01-01 01:30:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2303.72,0
2024-01-01 02:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2296.74,0
2024-01-01 02:30:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2293.02,0
2024-01-01 03:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2282.37,0
2024-01-01 03:30:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2273.81,0
2024-01-01 04:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2271.62,0
2024-01-01 04:30:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2279.55,0
2024-01-01 05:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2278.55,0
2024-01-01 05:30:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2275.89,0
2024-01-01 06:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2276.14,0
2024-01-01 06:30:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2281.9,0
2024-01-01 07:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2285.9,0
2024-01-01 07:30:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2284.67,0
2024-01-01 08:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2283.01,0
2024-01-01 08:30:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2287.01,0
2024-01-01 09:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2289.6,0
2024-01-01 09:30:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2299.8,0
2024-01-01 10:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2299.34,0
2024-01-01 10:30:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2302.04,0
2024-01-01 11:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2302.2,0
2024-01-01 11:30:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2304.47,0
2024-01-01 12:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2303.31,0
2024-01-01 12:30:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2299.43,0
2024-01-01 13:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2306.34,0
2024-01-01 13:30:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2304.16,0
2024-01-01 14:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2299.83,0
2024-01-01 14:30:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2300.99,0
2024-01-01 15:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2306.19,0
2024-01-01 15:30:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2314.7,0
2024-01-01 16:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2310.76,0
2024-01-01 16:30:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2309.89,0
