symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,fees,net_pnl,return_pct_on_notional,r_multiple,bars_held,exit_reason
BTCUSDT,long,2024-01-10 18:00:00+00:00,2024-01-10 20:00:00+00:00,46411.160376,45430.664426051284,0.0754128957699991,-73.94203887638876,2.770423184449445,-76.71246206083822,-0.021917846303096636,-1.0471734641067063,4,stop_loss
BTCUSDT,long,2024-01-31 16:00:00+00:00,2024-01-31 19:00:00+00:00,43369.782222,43361.1082655556,0.08007097246887132,-0.6945321276557145,2.7778506977719033,-3.4723828254276183,-0.0009999199999999923,-0.09352250591123129,6,stop_loss
BTCUSDT,long,2024-02-01 20:00:00+00:00,2024-02-02 13:30:00+00:00,43227.583788,42834.89809317926,0.0802950067443739,-31.530700514050658,2.7641550252347384,-34.29485553928539,-0.00988051262980329,-0.8507163346497882,35,stop_loss
BTCUSDT,long,2024-02-20 11:30:00+00:00,2024-02-20 14:00:00+00:00,52361.46019799999,52350.98790596039,0.06604991505212734,-0.6916939996167549,2.7664993208667505,-3.458193320483506,-0.0009999200000000306,-0.13951835165453366,5,stop_loss
BTCUSDT,long,2024-02-25 20:30:00+00:00,2024-02-26 00:00:00+00:00,51912.470418,51623.68524800253,0.06658853675787992,-19.229781907506702,2.7577284429340745,-21.987510350440775,-0.006360699647023,-1.1858132873678042,7,stop_loss
BTCUSDT,long,2024-03-06 08:30:00+00:00,2024-03-06 12:30:00+00:00,67338.935094,65539.1313464291,0.05121250971109759,-92.17246690054449,2.7220077071889386,-94.89447460773343,-0.027516844030284815,-1.0370862055420254,8,stop_loss
BTCUSDT,long,2024-05-06 08:00:00+00:00,2024-05-06 10:30:00+00:00,64553.658149999996,64540.747418369996,0.05290017786392943,-0.6829799995804408,2.731646806322006,-3.4146268059024463,-0.0009999199999999944,-0.10576518996658742,5,stop_loss
BTCUSDT,long,2024-05-17 07:00:00+00:00,2024-05-17 13:30:00+00:00,65968.751112,65955.5573617776,0.05174005472266163,-0.6826453585042469,2.7303083758730184,-3.412953734377265,-0.0009999200000000415,-0.11273023685551334,13,stop_loss
BTCUSDT,long,2024-06-05 15:30:00+00:00,2024-06-05 19:00:00+00:00,71557.878714,70865.51479405898,0.04767545472662374,-33.00876471949606,2.716040019682233,-35.72480473917829,-0.010471708927246946,-1.1049049783533527,7,stop_loss
BTCUSDT,long,2024-06-06 15:30:00+00:00,2024-06-06 16:00:00+00:00,71611.089354,71090.81120968322,0.047458754479860706,-24.69175271236745,2.708981785064535,-27.400734497431984,-0.008062423149132006,-1.1408966721985438,1,stop_loss
BTCUSDT,long,2024-07-21 17:00:00+00:00,2024-07-21 17:30:00+00:00,67567.50079800001,66992.56995752819,0.05014995390325247,-28.832755147219853,2.6992725382432523,-31.532027685463106,-0.009305581253534242,-1.1197180291059032,1,stop_loss
BTCUSDT,long,2024-07-21 20:30:00+00:00,2024-07-22 06:30:00+00:00,68138.1249,67188.65625291698,0.04956104170252431,-47.0566552133209,2.68277449767524,-49.73942971099614,-0.014728896062477162,-1.0721892030522946,20,stop_loss
BTCUSDT,long,2024-07-22 20:00:00+00:00,2024-07-22 22:00:00+00:00,68245.726416,67535.93130554898,0.049220882335151886,-34.93674161357621,2.673317199193692,-37.6100588127699,-0.011196419375506937,-1.0974062771458484,4,stop_loss
BTCUSDT,long,2024-07-28 18:30:00+00:00,2024-07-29 02:00:00+00:00,68273.441958,69114.93841547867,0.04900120716325848,41.23434224006053,2.6928785954021537,38.54146364465838,0.011520454847041981,1.6552522225229351,15,take_profit
BTCUSDT,long,2024-08-23 07:00:00+00:00,2024-08-23 11:30:00+00:00,61201.827917999995,60712.73510409871,0.054875848194564925,-26.839383008699404,2.6760660212429626,-29.515449029942367,-0.008788277366989125,-1.127709565672711,9,stop_loss
