timestamp,funding_rate,mark_price
2025-05-01 00:00:00+00:00,0.00003519,94130.75027536
2025-05-01 08:00:00+00:00,0.00005755,94983.01632609
2025-05-01 16:00:00.001000+00:00,-0.00008028,96794.89389805
2025-05-02 00:00:00+00:00,-0.00012232,96433.84531159
2025-05-02 08:00:00+00:00,-0.00009382,96302.10000000
2025-05-02 16:00:00.003000+00:00,-0.00008689,97277.00616667
2025-05-03 00:00:00+00:00,-0.00005953,96831.65852586
2025-05-03 08:00:00+00:00,0.00003198,96290.80000000
2025-05-03 16:00:00+00:00,-0.00001483,96360.13496232
2025-05-04 00:00:00.001000+00:00,0.00000370,95819.52819239
2025-05-04 08:00:00.001000+00:00,0.00003229,95842.10000000
2025-05-04 16:00:00.002000+00:00,0.00003745,95421.10000000
2025-05-05 00:00:00+00:00,-0.00002404,94240.51430435
2025-05-05 08:00:00+00:00,0.00003636,94697.80169565
2025-05-05 16:00:00.006000+00:00,-0.00002247,93731.39948913
2025-05-06 00:00:00.002000+00:00,0.00001978,94696.80000000
2025-05-06 08:00:00.005000+00:00,0.00004440,94353.53756884
2025-05-06 16:00:00+00:00,0.00000757,94511.80000000
2025-05-07 00:00:00.002000+00:00,0.00001218,96794.50000000
2025-05-07 08:00:00+00:00,-0.00000025,96949.17783333
2025-05-07 16:00:00.006000+00:00,0.00001320,96888.90000000
2025-05-08 00:00:00+00:00,0.00002318,96990.24909783
2025-05-08 08:00:00.001000+00:00,0.00004608,99215.08710145
2025-05-08 16:00:00.002000+00:00,0.00005728,100730.90000000
2025-05-09 00:00:00.001000+00:00,0.00010000,103241.74847826
2025-05-09 08:00:00.006000+00:00,0.00010000,103628.90270290
2025-05-09 16:00:00+00:00,0.00004378,102852.40000000
2025-05-10 00:00:00.001000+00:00,0.00009657,102941.80000000
2025-05-10 08:00:00+00:00,0.00010000,103721.70000000
2025-05-10 16:00:00.001000+00:00,0.00004257,103102.70000000
2025-05-11 00:00:00+00:00,0.00010000,104789.00000000
2025-05-11 08:00:00.001000+00:00,0.00004150,103336.90000000
2025-05-11 16:00:00.001000+00:00,0.00010000,104089.06693841
2025-05-12 00:00:00.004000+00:00,0.00004454,104072.80000000
2025-05-12 08:00:00+00:00,0.00010000,104426.20000000
2025-05-12 16:00:00+00:00,0.00002301,102484.98667754
2025-05-13 00:00:00+00:00,0.00006847,102739.98641667
2025-05-13 08:00:00.008000+00:00,0.00010000,102624.00000000
2025-05-13 16:00:00.001000+00:00,0.00007256,103642.21569565
2025-05-14 00:00:00.007000+00:00,0.00009921,104082.25016667
2025-05-14 08:00:00+00:00,0.00007542,103662.20000000
2025-05-14 16:00:00.002000+00:00,0.00003175,103461.40000000
2025-05-15 00:00:00+00:00,0.00002978,103458.20000000
2025-05-15 08:00:00.003000+00:00,0.00005336,101733.90000000
2025-05-15 16:00:00+00:00,0.00001439,103212.64269928
2025-05-16 00:00:00.001000+00:00,0.00004504,103731.00000000
2025-05-16 08:00:00+00:00,0.00007535,103646.60000000
2025-05-16 16:00:00+00:00,0.00004768,104152.87767029
2025-05-17 00:00:00+00:00,0.00002821,103420.88946739
2025-05-17 08:00:00.001000+00:00,0.00003340,103399.40000000
2025-05-17 16:00:00.004000+00:00,0.00000597,102900.00000000
2025-05-18 00:00:00+00:00,0.00006742,103079.50000000
2025-05-18 08:00:00+00:00,0.00005903,103891.40000000
2025-05-18 16:00:00+00:00,0.00010000,105484.20000000
2025-05-19 00:00:00+00:00,0.00005990,106415.65899638
2025-05-19 08:00:00.006000+00:00,0.00006040,103175.66738043
2025-05-19 16:00:00.010000+00:00,0.00002110,104740.40000000
2025-05-20 00:00:00+00:00,0.00008378,105539.99272464
2025-05-20 08:00:00.002000+00:00,0.00007107,104998.20574797
2025-05-20 16:00:00+00:00,0.00001266,105294.50000000
2025-05-21 00:00:00+00:00,0.00008767,106800.40000000
2025-05-21 08:00:00.001000+00:00,0.00007147,106469.35994203
2025-05-21 16:00:00.004000+00:00,0.00005119,108936.70000000
2025-05-22 00:00:00.001000+00:00,0.00010000,109611.57980435
2025-05-22 08:00:00+00:00,0.00010000,111005.80000000
2025-05-22 16:00:00.002000+00:00,0.00010000,111236.80000000
2025-05-23 00:00:00.006000+00:00,0.00009321,111663.50596536
2025-05-23 08:00:00+00:00,0.00007261,110685.20000000
