symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,notional,margin_used,leverage,gross_pnl,fees,last_bar_funding_pnl,net_pnl,r_multiple,bars_held,exit_reason
BTCUSDT,short,2025-05-03 00:45:00+00:00,2025-05-03 01:25:00+00:00,96595.64505,96590.82763421115,0.010352433585203331,1000.0,500.0,2,0.04987197700645236,0.7999800512091975,0.0,-0.7501080742027451,-0.7975722535349247,8,stop_loss
BTCUSDT,short,2025-05-03 03:20:00+00:00,2025-05-03 03:35:00+00:00,96357.50460000001,96298.88141723684,0.010366083016286384,998.8498919257972,499.4249459628986,2,0.6076927792019587,0.798836836428957,0.0,-0.19114405722699823,-0.26944490561678547,3,take_profit
BTCUSDT,short,2025-05-03 06:05:00+00:00,2025-05-03 06:15:00+00:00,96312.3159,96249.24852473807,0.010364813664622925,998.2592079117998,499.1296039558999,2,0.653681592906787,0.7983458936922772,0.0,-0.1446643007854902,-0.19357552761555957,2,take_profit
BTCUSDT,short,2025-05-03 17:20:00+00:00,2025-05-03 17:25:00+00:00,95836.4349,95973.97446132988,0.010410604703408575,997.7152399278497,498.85761996392483,2,-1.4318700040857018,0.798744939943914,0.0,-2.2306149440296155,-1.8869205579876513,1,stop_loss
BTCUSDT,short,2025-05-04 01:45:00+00:00,2025-05-04 01:50:00+00:00,95608.29195,95751.59571165072,0.010407941807058388,995.0855388878489,497.54276944392444,2,-1.491497211993268,0.7966650299950765,0.0,-2.2881622419883443,-1.8417049298593962,1,stop_loss
BTCUSDT,short,2025-05-04 03:10:00+00:00,2025-05-04 03:30:00+00:00,95608.89180000001,95782.43914949597,0.01037978083153878,992.3993424303054,496.1996712151527,2,-1.8013834516625142,0.7946400273249093,0.0,-2.5960234789874237,-1.6717310721736887,4,stop_loss
BTCUSDT,short,2025-05-04 13:20:00+00:00,2025-05-04 13:25:00+00:00,95286.472425,95405.58114209495,0.010383492368164934,989.4063592143459,494.70317960717296,2,-1.236764454937296,0.7920197931534516,0.0,-2.028784248090748,-2.051005718304327,1,stop_loss
BTCUSDT,short,2025-05-04 13:45:00+00:00,2025-05-04 13:50:00+00:00,95182.79835000001,95314.33769731682,0.010369329642876268,986.9818124225694,493.4909062112847,2,-1.3639748533367724,0.7901310398793904,0.0,-2.1541058932161627,-1.9285604364187232,1,stop_loss
BTCUSDT,short,2025-05-04 16:20:00+00:00,2025-05-04 16:25:00+00:00,95306.36745,95430.96991798966,0.010329141065216247,984.4329138043842,492.2164569021921,2,-1.2870364689391962,0.7880611456310831,0.0,-2.0750976145702795,-1.994005262073477,1,stop_loss
BTCUSDT,short,2025-05-04 17:35:00+00:00,2025-05-04 17:40:00+00:00,95217.089775,95330.83506820152,0.01031289703712531,981.9640430242921,490.98202151214605,2,-1.1730434972448522,0.7860404518183317,0.0,-1.959083949063184,-2.112628394182192,1,stop_loss
BTCUSDT,short,2025-05-05 01:30:00+00:00,2025-05-05 01:35:00+00:00,94148.25705,93909.08798683168,0.010404995314334597,979.6121734580191,489.80608672900956,2,2.4885529816001224,0.7826943175737753,0.0,1.7058586640263473,0.7542690200024808,1,take_profit
BTCUSDT,short,2025-05-05 10:30:00+00:00,2025-05-05 10:35:00+00:00,94291.6212,94213.81402702355,0.010403110846636523,980.9261872526623,490.46309362633116,2,0.8094366451374185,0.7844171751440749,0.0,0.02501946999334359,0.0286719726364896,1,take_profit
