symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,notional,margin_used,leverage,gross_pnl,fees,funding_pnl,net_pnl,r_multiple,bars_held,exit_reason,variant
BTCUSDT,long,2021-05-02 16:10:00+00:00,2021-05-02 16:20:00+00:00,56722.177,56645.835,0.014103831028911318,800.0,400.0,2,-1.076714668409207,0.6395693141326364,0.0,-1.7162839825418434,-0.7473929445123073,2,trend_invalid,both
BTCUSDT,short,2021-05-02 21:10:00+00:00,2021-05-02 21:20:00+00:00,56999.36659500001,57013.616436648765,0.014023199452133898,799.3134864069833,399.65674320349166,2,-0.1998283716018561,0.6395307204742274,0.0,-0.8393590920760835,-0.5019451187050312,2,stop_loss,both
BTCUSDT,short,2021-05-05 13:25:00+00:00,2021-05-05 13:30:00+00:00,55882.4259,55915.0052575,0.01349601936488988,754.1903021034238,377.0951510517119,2,-0.4396916397156552,0.6035281183386254,0.0,-1.0432197580542806,-0.3481848374356665,1,trend_invalid,both
BTCUSDT,long,2021-05-06 07:05:00+00:00,2021-05-06 07:10:00+00:00,56775.200252500006,56685.8549925,0.014065304064370392,798.5604548669312,399.2802274334656,2,-1.256668248610358,0.6383456965941008,0.0,-1.8950139452044588,-0.6434318652986184,1,trend_invalid,both
BTCUSDT,long,2021-05-09 07:50:00+00:00,2021-05-09 07:55:00+00:00,58076.4854925,57982.7007,0.013737099318654149,797.8024492888494,398.9012246444247,2,-1.2883310091519034,0.6377266270274187,0.0,-1.9260576361793222,-0.7741016172223723,1,trend_invalid,both
BTCUSDT,long,2021-05-09 09:45:00+00:00,2021-05-09 09:50:00+00:00,57938.891102500005,57999.40652250001,0.013756425279599223,797.0320262343776,398.5160131171888,2,0.8324758534936106,0.6379586113288995,0.0,0.19451724216471117,0.07066262679354963,1,trend_invalid,both
BTCUSDT,long,2021-05-10 08:20:00+00:00,2021-05-10 08:25:00+00:00,58391.67427,58372.80315,0.013651087130083818,797.1098331312435,398.55491656562174,2,-0.25761130336231414,0.6375848219836499,0.0,-0.8951961253459639,-0.3481732177564961,1,trend_invalid,both
BTCUSDT,long,2021-05-12 10:10:00+00:00,2021-05-12 10:15:00+00:00,56622.502087500005,56410.47837429264,0.014071291894693508,796.751754681105,398.3758773405525,2,-2.9834475571376458,0.636208024722029,0.0,-3.619655581859675,-1.29971739846451,1,stop_loss,both
BTCUSDT,long,2021-05-12 13:35:00+00:00,2021-05-12 13:45:00+00:00,56209.80894000001,56510.06518365396,0.013367137175925978,751.3642267335705,375.68211336678525,2,4.01356639685063,0.6026968079455968,0.0,3.410869588905033,1.1436700264447235,2,take_profit,both
BTCUSDT,long,2021-05-12 15:15:00+00:00,2021-05-12 15:20:00+00:00,55928.848717500005,55660.349888397104,0.011735025636801103,656.326473536633,328.1632367683165,2,-3.1508406429736135,0.523800842572117,0.0,-3.67464148554573,-1.230003088608505,1,stop_loss,both
BTCUSDT,long,2021-05-15 06:25:00+00:00,2021-05-15 06:30:00+00:00,49235.215727500006,49562.599636572275,0.012366618164664053,608.8731131568549,304.4365565784274,2,4.048631796751841,0.4887179432441846,0.0,3.5599138535076564,1.1938031822079336,1,take_profit,both
