variant,sample,cutoff,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,return_over_drawdown,trade_count,trades_per_year,win_rate_pct,profit_factor,expectancy,avg_win,avg_loss,sharpe_simplified,exposure_time_pct,avg_trade_duration_bars,total_fees
long_only,in_sample,2023-10-30 23:57:30+00:00,1815.3663227887798,-9.231683860561013,-3.8048988974740294,9.371650637916872,-0.9850648746134895,257,102.92680921052632,24.5136186770428,0.38097686913996365,-0.7184189774755584,1.8036908445198054,-1.5374546413194137,-3.8709249175606777,0.16125106486552268,1.649805447470817,149.47972120332338
long_only,out_of_sample,2023-10-30 23:57:30+00:00,1596.505278681158,-12.05602645373557,-5.015026950535728,12.142760471889801,-0.9928571416396609,271,108.53371710526315,20.66420664206642,0.23908014841853037,-0.807605328810401,1.22796232367248,-1.3377996941082677,-4.913760316117626,0.14565839114031887,1.4132841328413284,143.98782630461636
short_only,in_sample,2023-10-30 23:57:30+00:00,1810.0206177170667,-9.498969114146671,-3.9184451589155844,9.528127950090838,-0.9969397098677829,214,85.70559210526315,24.766355140186917,0.28105287955915126,-0.8877541228174433,1.4012695743277148,-1.6412836628714391,-3.5103573201951037,0.1346294267981015,1.6542056074766356,124.5642936734028
short_only,out_of_sample,2023-10-30 23:57:30+00:00,1622.2640700253446,-10.373171766879352,-4.2912282289358945,10.373171766879352,-1.0,250,100.12335526315789,21.2,0.22768943447978957,-0.75102619076688,1.0444078414161346,-1.2340617425724627,-4.882850717773784,0.1403340635268346,1.476,133.3590583224668
both,in_sample,2023-10-30 23:57:30+00:00,1642.5331679172298,-17.873341604138517,-7.583085307010284,17.99998275161794,-0.992964373953745,472,189.03289473684208,24.576271186440678,0.3362233787445715,-0.7573449832262059,1.5609310450610623,-1.5127382958141924,-5.220998914255419,0.29702141900937085,1.6546610169491525,262.3743840546046
both,out_of_sample,2023-10-30 23:57:30+00:00,1295.1733708988284,-21.147810211885197,-9.076825743737604,21.147810211885197,-1.0,522,209.05756578947367,21.0727969348659,0.23209429769912732,-0.6654402241731774,0.9544286006653563,-1.0979294735232714,-6.942720355257299,0.28485152732140684,1.4348659003831417,237.41089899636447
