symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,notional,margin_used,leverage,gross_pnl,fees,funding_pnl,net_pnl,r_multiple,bars_held,exit_reason,variant
BTCUSDT,short,2021-05-02 21:10:00+00:00,2021-05-02 21:20:00+00:00,56999.36659500001,57013.616436648765,0.014035243684096942,800.0,400.0,2,-0.20000000000011037,0.6400800000000001,0.0,-0.8400800000001105,-0.5019451187050313,2,stop_loss,short_only
BTCUSDT,short,2021-05-05 13:25:00+00:00,2021-05-05 13:30:00+00:00,55882.4259,55915.0052575,0.013507610812930199,754.8380603396106,377.4190301698053,2,-0.4400692816453034,0.6040464759843467,0.0,-1.04411575762965,-0.34818483743566647,1,trend_invalid,short_only
BTCUSDT,short,2021-05-22 10:05:00+00:00,2021-05-22 10:10:00+00:00,36870.33011250001,37074.7563725,0.008819631015677822,325.182707018485,162.5913535092425,2,-1.8029641831149559,0.260867351288034,0.0,-2.06383153440299,-0.688592566397167,1,trend_invalid,short_only
BTCUSDT,short,2021-05-27 08:20:00+00:00,2021-05-27 08:25:00+00:00,38413.364257500005,38617.87165300717,0.0153656448405534,590.2461123115534,295.1230561557767,2,-3.1423880066296666,0.4734538450518946,0.0,-3.615841851681561,-1.2076645635554557,1,stop_loss,short_only
BTCUSDT,short,2021-06-02 00:05:00+00:00,2021-06-02 00:10:00+00:00,36570.7650225,36740.92764971672,0.01856541143176111,678.9512990169709,339.47564950848545,2,-3.1591391845877896,0.5444246948874119,0.0,-3.7035638794752015,-1.2392078963432995,1,stop_loss,short_only
BTCUSDT,short,2021-06-04 00:05:00+00:00,2021-06-04 00:10:00+00:00,39063.061792500004,38884.99511925174,0.0203643286083493,795.4930267907242,397.7465133953621,2,3.626208248223212,0.6349439381332902,0.0,2.9912643100899214,1.1022032031078082,1,take_profit,short_only
BTCUSDT,short,2021-06-11 09:35:00+00:00,2021-06-11 09:55:00+00:00,37207.8057225,36952.94536910733,0.015940322613117938,593.1044269428658,296.5522134714329,2,4.062556254372447,0.4728585190525436,0.0,3.5896977353199038,1.2015379772808874,4,take_profit,short_only
BTCUSDT,short,2021-06-15 00:05:00+00:00,2021-06-15 00:10:00+00:00,40273.5990825,40417.66189,0.01696718604480858,683.3296483268095,341.6648241634048,2,-2.4443404569900444,0.5476414548442436,0.0,-2.991981911834288,-0.9996697656167259,1,trend_invalid,short_only
BTCUSDT,short,2021-06-22 01:20:00+00:00,2021-06-22 01:25:00+00:00,32567.7660225,32563.138750000002,0.009272441955062249,301.9827200496798,150.9913600248399,2,0.042906115666487894,0.24156901359347724,0.0,-0.19866289792698935,-0.06647618309575416,1,trend_invalid,short_only
BTCUSDT,short,2021-06-24 09:05:00+00:00,2021-06-24 09:10:00+00:00,33253.60452,33273.9063975,0.018658122770427114,620.44983569339,310.224917846695,2,-0.37879492286520666,0.49651138652385807,0.0,-0.8753063093890647,-0.2929224618708189,1,trend_invalid,short_only
BTCUSDT,short,2021-06-29 00:45:00+00:00,2021-06-29 00:50:00+00:00,34973.2844925,34904.3339025,0.016662397481705248,582.7387674547932,291.3693837273966,2,1.1488821371780973,0.46573146110896335,0.0,0.6831506760691339,0.22871780942764258,1,trend_invalid,short_only
BTCUSDT,short,2021-07-02 16:25:00+00:00,2021-07-02 16:45:00+00:00,33524.196855,33532.57790421376,0.02109052540437131,707.0429254315223,353.5214627157612,2,-0.17676073135801432,0.5657050446377611,0.0,-0.7424657759957753,-0.24849116331984844,4,stop_loss,short_only
BTCUSDT,short,2021-07-11 16:40:00+00:00,2021-07-11 16:45:00+00:00,33854.5442475,33955.61961701201,0.023526392773108248,796.4753051212574,398.2376525606287,2,-2.377938842826538,0.6381314196341366,0.0,-3.016070262460674,-1.3846138079860981,1,stop_loss,short_only
BTCUSDT,short,2021-07-14 13:20:00+00:00,2021-07-14 13:25:00+00:00,32676.838747499998,32705.354295000005,0.024337387198359775,795.2688770162731,397.63443850813655,2,-0.6939939206808784,0.6364926991812909,0.0,-1.3304866198621692,-0.4567392963445774,1,trend_invalid,short_only
BTCUSDT,short,2021-07-16 00:05:00+00:00,2021-07-16 00:10:00+00:00,31673.299695,31793.127876791314,0.025091692056757407,794.7366823683283,397.36834118416414,2,-3.006691837228748,0.6369920226295542,0.0,-3.643683859858302,-1.2979290705387139,1,stop_loss,short_only
BTCUSDT,short,2021-07-16 16:40:00+00:00,2021-07-16 17:00:00+00:00,32103.41214,32061.4233525,0.021010262041848988,674.501101498876,337.250550749438,2,0.8821954281944834,0.539248003027823,0.0,0.34294742516666044,0.11528431061068577,4,trend_invalid,short_only
BTCUSDT,short,2021-07-22 14:45:00+00:00,2021-07-22 14:50:00+00:00,32115.5790975,32194.466605,0.024705031330299575,793.4163877944517,396.70819389722584,2,-1.9489183443567335,0.635512677573304,0.0,-2.5844310219300377,-1.1364567611061893,1,trend_invalid,short_only
