symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,notional,margin_used,leverage,gross_pnl,fees,last_bar_funding_pnl,net_pnl,r_multiple,bars_held,exit_reason
BTCUSDT,long,2024-01-08 12:00:00+00:00,2024-01-08 18:00:00+00:00,44650.591159999996,46049.89108563173,0.06368890202155032,2843.7471255935407,1421.8735627967703,2,89.11987586232219,2.3106456508197617,0.0,86.80923021150242,1.7361846042300488,6,take_profit
BTCUSDT,long,2024-02-07 18:00:00+00:00,2024-02-07 21:00:00+00:00,43501.64658,44345.77968980959,0.10585974497066267,4605.0732127627,2302.53660638135,2,89.35971572573565,3.719802456500454,0.0,85.6399132692352,1.6982972929978113,3,take_profit
BTCUSDT,short,2024-03-22 12:00:00+00:00,2024-03-22 15:00:00+00:00,64248.81957,64268.094215870995,0.03501207384313601,2249.484415119162,1124.742207559581,2,-0.6748453245355841,1.7998574702251438,0.0,-2.4747027947607276,-0.04867063038704119,3,stop_loss
BTCUSDT,long,2024-04-10 23:00:00+00:00,2024-04-11 11:00:00+00:00,70605.47529,70022.28701,0.03890453122841283,2746.8729183167356,1373.4364591583678,2,-22.688666651304448,2.188422867992867,0.0,-24.877089519297314,-0.48942666815983094,12,trend_invalid
BTCUSDT,short,2024-04-30 10:00:00+00:00,2024-04-30 19:00:00+00:00,61640.402330000004,59645.81716886778,0.04534223211696298,2794.9134302298457,1397.4567151149229,2,90.43894335310718,2.1997551668426336,0.0,88.23918818626454,1.7406078354701702,9,take_profit
BTCUSDT,short,2024-06-13 16:00:00+00:00,2024-06-14 21:00:00+00:00,66444.36071000001,66464.29401821301,0.04073912241286432,2706.8849446092026,1353.4424723046013,2,-0.8120654833828964,2.1658327818807157,0.0,-2.977898265263612,-0.05824004907877606,29,stop_loss
BTCUSDT,short,2024-06-17 10:00:00+00:00,2024-06-17 14:00:00+00:00,65676.59111000001,65696.29408733301,0.08346725795782671,5481.844971969079,2740.9224859845394,2,-1.6445534915906885,4.386133798971899,0.0,-6.030687290562588,-0.1179822136804743,4,stop_loss
BTCUSDT,short,2024-08-30 15:00:00+00:00,2024-08-30 17:00:00+00:00,58412.87088,58430.394741264,0.04748823232200363,2773.9239829446406,1386.9619914723203,2,-0.8321771948831576,2.219472057233666,0.0,-3.0516492521168237,-0.05974943927004565,2,stop_loss
BTCUSDT,long,2024-09-17 13:00:00+00:00,2024-09-17 15:00:00+00:00,59363.60374,60722.65641402139,0.06672354618770639,3960.9501560145895,1980.4750780072948,2,90.68081386659209,3.2050324503583085,0.0,87.47578141623377,1.7134071356860026,2,take_profit
BTCUSDT,long,2024-10-20 15:00:00+00:00,2024-10-20 21:00:00+00:00,68642.68663,68622.093824011,0.13511791763707556,9274.856878459928,4637.428439229964,2,-2.782457063537886,7.418772519942527,0.0,-10.201229583480412,-0.19814691455262717,6,stop_loss
BTCUSDT,long,2024-11-18 07:00:00+00:00,2024-11-18 11:00:00+00:00,92240.16374999999,90860.02924947492,0.03799998137831,3505.1245048322644,1752.5622524161322,2,-52.44508531951609,2.783121569738005,0.0,-55.22820688925409,-1.0742912410229668,4,stop_loss
BTCUSDT,long,2024-12-02 02:00:00+00:00,2024-12-02 03:00:00+00:00,98108.82381999999,97093.15073315045,0.05181710697049612,5083.715418630498,2541.857709315249,2,-52.629240988336406,4.045920638509063,0.0,-56.675161626845465,-1.1086807095808,1,stop_loss
BTCUSDT,short,2024-12-22 20:00:00+00:00,2024-12-23 04:00:00+00:00,94766.96138,96427.44082487767,0.031151733577645696,2952.1551328727987,1476.0775664363994,2,-51.726813277986544,2.3824148316094336,0.0,-54.109228109595975,-1.0645991103394798,8,stop_loss
BTCUSDT,long,2025-01-20 07:00:00+00:00,2025-01-20 16:00:00+00:00,107583.56539,103888.52717562839,0.013797175346791573,1484.3493161188471,742.1746580594236,2,-50.981090156780766,1.1670870168323655,-0.14485599207895086,-52.14817717361313,-1.0315963697225576,9,stop_loss
BTCUSDT,short,2025-02-11 17:00:00+00:00,2025-02-11 21:00:00+00:00,96299.10160000001,96327.99133048,0.04621155778103797,4450.131497850446,2225.065748925223,2,-1.335039449354683,3.5606392140600995,0.0,-4.895678663414783,-0.09735569247264139,4,stop_loss
BTCUSDT,short,2025-02-17 16:00:00+00:00,2025-02-18 12:00:00+00:00,95576.81835,96183.8465,0.05392883047494438,5154.346034131703,2577.1730170658516,2,-32.736318194869014,4.13657135458331,0.0,-36.872889549452324,-0.7337430243009351,20,trend_invalid
