timestamp,symbol,equity,realized_equity,unrealized_pnl,funding_pnl,margin_used,close,in_position
2024-01-01 00:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42503.5,0
2024-01-01 01:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42647.9,0
2024-01-01 02:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42620.4,0
2024-01-01 03:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42369.8,0
2024-01-01 04:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42436.6,0
2024-01-01 05:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42272.6,0
2024-01-01 06:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42423.3,0
2024-01-01 07:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42527.0,0
2024-01-01 08:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42588.2,0
2024-01-01 09:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42688.8,0
2024-01-01 10:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42727.7,0
2024-01-01 11:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42727.6,0
2024-01-01 12:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42682.0,0
2024-01-01 13:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42753.9,0
2024-01-01 14:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42645.6,0
2024-01-01 15:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42818.0,0
2024-01-01 16:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42759.7,0
2024-01-01 17:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42847.0,0
2024-01-01 18:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,43148.0,0
2024-01-01 19:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,43556.2,0
2024-01-01 20:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,43753.3,0
2024-01-01 21:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,43679.8,0
2024-01-01 22:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,43583.9,0
2024-01-01 23:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,44230.2,0
2024-01-02 00:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45179.8,0
2024-01-02 01:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,44926.3,0
2024-01-02 02:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45420.0,0
2024-01-02 03:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45435.0,0
2024-01-02 04:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45211.7,0
2024-01-02 05:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45218.2,0
2024-01-02 06:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45202.9,0
2024-01-02 07:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45495.5,0
2024-01-02 08:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45816.8,0
2024-01-02 09:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45730.5,0
2024-01-02 10:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45655.7,0
2024-01-02 11:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45486.8,0
2024-01-02 12:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45355.1,0
2024-01-02 13:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45686.3,0
2024-01-02 14:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45293.6,0
2024-01-02 15:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45215.0,0
2024-01-02 16:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45393.4,0
2024-01-02 17:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45001.2,0
2024-01-02 18:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45189.0,0
2024-01-02 19:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45073.2,0
2024-01-02 20:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,44825.2,0
2024-01-02 21:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45155.0,0
2024-01-02 22:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45006.7,0
2024-01-02 23:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,44979.8,0
2024-01-03 00:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45168.1,0
2024-01-03 01:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45347.8,0
2024-01-03 02:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45312.7,0
2024-01-03 03:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45297.8,0
2024-01-03 04:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45218.8,0
2024-01-03 05:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45200.0,0
2024-01-03 06:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45362.7,0
2024-01-03 07:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45030.4,0
2024-01-03 08:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45224.1,0
2024-01-03 09:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45378.7,0
2024-01-03 10:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,45175.7,0
2024-01-03 11:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,43728.9,0
2024-01-03 12:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42795.8,0
2024-01-03 13:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42545.7,0
2024-01-03 14:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42204.1,0
2024-01-03 15:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,43014.0,0
2024-01-03 16:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,43009.2,0
2024-01-03 17:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42914.5,0
2024-01-03 18:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42267.6,0
2024-01-03 19:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42600.4,0
2024-01-03 20:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42724.5,0
2024-01-03 21:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42927.1,0
2024-01-03 22:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42753.6,0
2024-01-03 23:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42849.5,0
2024-01-04 00:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42883.4,0
2024-01-04 01:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42716.6,0
2024-01-04 02:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,43151.0,0
2024-01-04 03:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,43119.6,0
2024-01-04 04:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,43161.1,0
2024-01-04 05:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,43191.3,0
2024-01-04 06:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,43163.7,0
2024-01-04 07:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42775.0,0
2024-01-04 08:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,42858.7,0
2024-01-04 09:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,43020.6,0
2024-01-04 10:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,43089.5,0
2024-01-04 11:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,43188.2,0
2024-01-04 12:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,43386.2,0
2024-01-04 13:00:00+00:00,BTCUSDT,10000.0,10000.0,0.0,0.0,0.0,43344.2,0
