symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,notional,margin_used,leverage,gross_pnl,fees,last_bar_funding_pnl,net_pnl,r_multiple,bars_held,exit_reason
BTCUSDT,short,2025-05-01 18:27:00+00:00,2025-05-01 18:28:00+00:00,96422.16467000001,96512.3373458615,0.010371059428321791,1000.0,500.0,2,-0.9351861801702306,0.8003740744720681,0.0,-1.7355602546422986,-2.7331843432947616,1,stop_loss
BTCUSDT,short,2025-05-01 19:11:00+00:00,2025-05-01 19:15:00+00:00,96462.65252,96491.591315756,0.010344567702390998,997.8644397453577,498.93221987267884,2,-0.2993593319235625,0.7984112955290557,0.0,-1.0977706274526182,-1.6059004640929768,4,stop_loss
BTCUSDT,short,2025-05-01 19:46:00+00:00,2025-05-01 19:47:00+00:00,96404.56995,96490.77740176099,0.010335272735086838,996.367523342007,498.1837616710035,2,-0.8909775257466446,0.7974504096839043,0.0,-1.688427935430549,-2.8526056969739866,1,stop_loss
BTCUSDT,short,2025-05-01 20:02:00+00:00,2025-05-01 20:06:00+00:00,96334.0911,96361.46620160794,0.010321170180192208,994.2805483972396,497.1402741986198,2,-0.28254308239553166,0.79553745595075,0.0,-1.0780805383462815,-1.2742858784472688,4,stop_loss
BTCUSDT,short,2025-05-01 20:54:00+00:00,2025-05-01 20:57:00+00:00,96309.29854,96385.11989113413,0.010308503651152585,992.8047556395344,496.4023778197672,2,-0.7816046750015112,0.7945564463816281,0.0,-1.5761611213831395,-2.314722506831233,3,stop_loss
BTCUSDT,short,2025-05-01 22:03:00+00:00,2025-05-01 22:06:00+00:00,96361.48288,96453.75803248653,0.010282443181678603,990.8314726158954,495.4157363079477,2,-0.9488140125234812,0.7930447036977257,0.0,-1.741858716221207,-2.674149811216349,3,stop_loss
BTCUSDT,short,2025-05-01 22:50:00+00:00,2025-05-01 22:51:00+00:00,96283.1064,96357.14204035814,0.010268605971261308,988.6932813106279,494.34664065531393,2,-0.7602428186677415,0.7912587221759695,0.0,-1.551501540843711,-3.3473908269515618,1,stop_loss
BTCUSDT,short,2025-05-01 23:34:00+00:00,2025-05-01 23:35:00+00:00,96151.04603,96226.94539205484,0.010262460401620448,986.74630245726,493.37315122863,2,-0.7789141975960762,0.7897086076448464,0.0,-1.5686228052409226,-3.2493785230215697,1,stop_loss
BTCUSDT,short,2025-05-02 05:18:00+00:00,2025-05-02 05:19:00+00:00,96778.95760000001,96835.70337545242,0.010175589875655325,984.7829811310361,492.39149056551804,2,-0.5774217381797286,0.7880573536001008,0.0,-1.3654790917798294,-4.843803054445096,1,stop_loss
BTCUSDT,short,2025-05-02 05:53:00+00:00,2025-05-02 05:57:00+00:00,96611.008,96639.9913024,0.010175068133507145,983.0235888468039,491.51179442340197,2,-0.29490707665400373,0.7865368339081048,0.0,-1.0814439105621085,-2.588742740560014,4,stop_loss
BTCUSDT,short,2025-05-02 06:20:00+00:00,2025-05-02 06:22:00+00:00,96555.0248,96622.24154708731,0.010165695027616037,981.5489355007031,490.77446775035156,2,-0.6833049516379927,0.7855124703812177,0.0,-1.4688174220192103,-3.778564559461584,2,stop_loss
BTCUSDT,short,2025-05-02 06:42:00+00:00,2025-05-02 06:43:00+00:00,96584.61592000001,96655.7560026898,0.010143307908538438,979.6874985044836,489.8437492522418,2,-0.7215957633614046,0.7840386371089315,0.0,-1.5056344004703361,-3.5214473167079077,1,stop_loss
