timestamp,symbol,cash,unrealized_pnl,equity,close,in_position
2024-01-01 00:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2295.51,0
2024-01-01 01:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2303.72,0
2024-01-01 02:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2293.02,0
2024-01-01 03:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2273.81,0
2024-01-01 04:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2279.55,0
2024-01-01 05:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2275.89,0
2024-01-01 06:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2281.9,0
2024-01-01 07:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2284.67,0
2024-01-01 08:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2287.01,0
2024-01-01 09:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2299.8,0
2024-01-01 10:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2302.04,0
2024-01-01 11:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2304.47,0
2024-01-01 12:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2299.43,0
2024-01-01 13:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2304.16,0
2024-01-01 14:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2300.99,0
2024-01-01 15:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2314.7,0
2024-01-01 16:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2309.89,0
2024-01-01 17:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2313.76,0
2024-01-01 18:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2326.9,0
2024-01-01 19:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2337.26,0
2024-01-01 20:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2340.98,0
2024-01-01 21:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2337.83,0
2024-01-01 22:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2334.21,0
2024-01-01 23:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2352.04,0
2024-01-02 00:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2387.58,0
2024-01-02 01:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2378.08,0
2024-01-02 02:00:00+00:00,ETHUSDT,10000.0,0.0,10000.0,2382.95,0
