symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,fees,net_pnl,return_pct_on_notional,r_multiple,bars_held,exit_reason
ETHUSDT,long,2024-02-22 09:00:00+00:00,2024-02-22 13:00:00+00:00,3021.374154,2957.776423135541,1.1584132985867859,-73.67245719333283,2.770531017122667,-76.44298821045551,-0.02184085377441586,-1.047349953014818,4,stop_loss
ETHUSDT,long,2024-03-11 08:00:00+00:00,2024-03-12 06:00:00+00:00,4002.20028,4001.399839944,0.8677114365017086,-0.6945509908251318,2.777926142904742,-3.472477133729874,-0.0009999199999999608,-0.04299064082005399,22,stop_loss
ETHUSDT,long,2024-09-23 03:00:00+00:00,2024-09-23 07:00:00+00:00,2636.537202,2636.0098945596,1.3165197892155354,-0.6942106802870717,2.776565036876651,-3.470775717163723,-0.0009999199999999656,-0.047619219269734565,4,stop_loss
ETHUSDT,long,2024-10-20 14:00:00+00:00,2024-10-20 15:00:00+00:00,2661.5322,2708.4883718862493,1.3035170802963605,61.2081720790576,2.7999654147986224,58.40820666425897,0.016835476819515725,1.6980658569554772,1,take_profit
ETHUSDT,long,2024-11-16 12:00:00+00:00,2024-11-16 15:00:00+00:00,3195.979068,3124.4185161242035,1.0917811947996447,-78.12846482747916,2.760196490401565,-80.88866131788073,-0.02318185111137476,-1.0444511678866248,3,stop_loss
ETHUSDT,long,2024-11-27 11:00:00+00:00,2024-11-27 19:00:00+00:00,3456.1911,3603.9939576009756,1.0012497024762546,147.98756719811703,2.82760327534011,145.15996392277694,0.04194756001134752,1.7570369827548438,8,take_profit
ETHUSDT,long,2024-12-04 01:00:00+00:00,2024-12-04 13:00:00+00:00,3692.608374,3691.8698523252,0.9507728605139024,-0.7021663653009361,2.8083845946583357,-3.5105509599592715,-0.0009999199999999493,-0.04730319642694781,12,stop_loss
ETHUSDT,long,2024-12-06 15:00:00+00:00,2024-12-07 01:00:00+00:00,3985.276896,3984.4798406208,0.8805188971275619,-0.7018223234425273,2.8070085648417216,-3.5088308882842485,-0.0009999199999999294,-0.03788865810233013,10,stop_loss
ETHUSDT,long,2025-02-21 10:00:00+00:00,2025-02-21 14:00:00+00:00,2782.85646,2782.2998887080003,1.260356867553479,-0.7014784501549558,2.805633209241189,-3.507111659396145,-0.0009999199999998984,-0.061482193495731315,4,stop_loss
ETHUSDT,long,2025-04-25 15:00:00+00:00,2025-04-26 09:00:00+00:00,1808.701668,1808.3399276664,1.93822662344151,-0.7011347453560994,2.8042585275263914,-3.5053932728824906,-0.0009999199999999903,-0.042846574849992394,18,stop_loss
ETHUSDT,long,2025-05-18 14:00:00+00:00,2025-05-18 17:00:00+00:00,2542.698438,2542.1898983124,1.3780462489958114,-0.7007912089623377,2.802884519367142,-3.5036757283294797,-0.0009999199999999018,-0.054890224021896014,3,stop_loss
ETHUSDT,long,2025-05-22 04:00:00+00:00,2025-05-22 13:00:00+00:00,2629.7658479999996,2629.2398948303994,1.1844240713061907,-0.6229515944541969,2.4915571971783272,-3.1145087916325243,-0.0009999200000000545,-0.031125174879046234,9,stop_loss
ETHUSDT,long,2025-06-04 16:00:00+00:00,2025-06-04 20:00:00+00:00,2668.453584,2619.8457919499106,1.3118883091162774,-63.767994122467286,2.7750632505662374,-66.54305737303352,-0.019008429490624885,-1.0548916312865593,4,stop_loss
ETHUSDT,long,2025-07-02 15:00:00+00:00,2025-07-02 16:00:00+00:00,2470.14393,2536.8338618060984,1.407583116162802,93.87162202831252,2.8190949610993496,91.05252706721318,0.02618759980086496,1.7327583078500544,1,take_profit
ETHUSDT,long,2025-07-15 18:00:00+00:00,2025-07-16 14:00:00+00:00,3096.91926,3242.3129763382253,1.1328401581347345,164.70784060839176,2.872534739626481,161.8353058687653,0.046129075849297374,1.7607530623982577,20,take_profit
ETHUSDT,long,2025-07-24 15:00:00+00:00,2025-07-25 00:00:00+00:00,3735.1968899999997,3658.6681200000003,0.9542912468135998,-73.03073534041067,2.8223602636657397,-75.85309560407642,-0.02128035505084163,-0.7747758132743533,9,trend_invalid
ETHUSDT,long,2025-07-31 01:00:00+00:00,2025-07-31 13:00:00+00:00,3844.698786,3806.8084860000004,0.9200767824710776,-34.861985310863474,2.815989676750325,-37.6779749876138,-0.010651264296156898,-0.5073850765235169,12,trend_invalid
ETHUSDT,long,2025-08-17 09:00:00+00:00,2025-08-17 18:00:00+00:00,4536.407099999999,4468.99433432255,0.7767679313470941,-52.36407454165914,2.7980428172355527,-55.1621173588947,-0.015654442973422496,-0.9791463250058595,9,stop_loss
ETHUSDT,long,2025-11-30 14:00:00+00:00,2025-11-30 23:00:00+00:00,3049.6097999999997,3011.3851069218244,1.1489783036378696,-43.919343010040045,2.785580658605122,-46.704923668645165,-0.013329276106387122,-1.0804521738296067,9,stop_loss
ETHUSDT,long,2026-03-15 10:00:00+00:00,2026-03-15 13:00:00+00:00,2117.62344,2095.298266111032,1.6467036370300712,-36.76294504029244,2.7749733983903875,-39.53791843868283,-0.011338343785716902,-1.0960608620211705,3,stop_loss
ETHUSDT,long,2026-03-15 21:00:00+00:00,2026-03-15 22:00:00+00:00,2129.485812,2182.779104324037,1.63080295521768,86.91085861531904,2.812981747689104,84.09787686762994,0.024216355923533744,1.7275862073059727,1,take_profit
