timestamp,symbol,cash,unrealized_pnl,equity,close,in_position
2024-01-01 00:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42475.23,0
2024-01-01 01:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42613.56,0
2024-01-01 02:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42581.1,0
2024-01-01 03:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42330.49,0
2024-01-01 04:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42399.99,0
2024-01-01 05:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42234.01,0
2024-01-01 06:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42396.69,0
2024-01-01 07:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42492.46,0
2024-01-01 08:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42549.99,0
2024-01-01 09:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42649.69,0
2024-01-01 10:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42691.1,0
2024-01-01 11:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42690.2,0
2024-01-01 12:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42648.38,0
2024-01-01 13:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42715.54,0
2024-01-01 14:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42612.24,0
2024-01-01 15:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42783.05,0
2024-01-01 16:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42725.15,0
2024-01-01 17:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42812.7,0
2024-01-01 18:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,43111.1,0
2024-01-01 19:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,43517.99,0
2024-01-01 20:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,43687.86,0
2024-01-01 21:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,43619.21,0
2024-01-01 22:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,43529.93,0
2024-01-01 23:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,44179.55,0
2024-01-02 00:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45056.0,0
2024-01-02 01:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,44855.96,0
2024-01-02 02:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45378.96,0
2024-01-02 03:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45402.38,0
2024-01-02 04:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45179.8,0
2024-01-02 05:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45179.48,0
2024-01-02 06:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45168.75,0
2024-01-02 07:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45455.53,0
2024-01-02 08:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45759.3,0
2024-01-02 09:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45673.48,0
2024-01-02 10:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45584.99,0
2024-01-02 11:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45433.99,0
2024-01-02 12:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45301.99,0
2024-01-02 13:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45637.93,0
2024-01-02 14:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45258.73,0
2024-01-02 15:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45184.82,0
2024-01-02 16:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45357.84,0
2024-01-02 17:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,44966.15,0
2024-01-02 18:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45154.69,0
2024-01-02 19:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45039.49,0
2024-01-02 20:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,44788.28,0
2024-01-02 21:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45119.74,0
2024-01-02 22:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,44981.73,0
2024-01-02 23:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,44946.91,0
2024-01-03 00:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45135.61,0
2024-01-03 01:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45317.58,0
2024-01-03 02:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45274.57,0
2024-01-03 03:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45262.69,0
2024-01-03 04:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45183.45,0
2024-01-03 05:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45172.13,0
2024-01-03 06:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45326.93,0
2024-01-03 07:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45011.77,0
2024-01-03 08:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45200.0,0
2024-01-03 09:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45344.67,0
2024-01-03 10:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,45151.91,0
2024-01-03 11:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,43702.88,0
2024-01-03 12:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42789.38,0
2024-01-03 13:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42529.4,0
2024-01-03 14:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42179.99,0
2024-01-03 15:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,43000.01,0
2024-01-03 16:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42992.67,0
2024-01-03 17:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42906.0,0
2024-01-03 18:00:00+00:00,BTCUSDT,10000.0,0.0,10000.0,42255.72,0
