variant,year,start,end,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,return_over_drawdown,trade_count,trades_per_year,win_rate_pct,profit_factor,expectancy,avg_win,avg_loss,sharpe_simplified,exposure_time_pct,avg_trade_duration_bars,total_fees
long_only,2021,2021-05-01 00:00:00+00:00,2021-12-31 23:55:00+00:00,1981.382486692451,-0.9308756653774508,-1.3902242598614833,1.0808889219487527,-0.8612130686834679,17,25.447745901639347,17.647058823529413,0.29052419264987256,-1.0951478416205107,2.541236767948297,-1.8743731150995409,-1.2427475460690378,0.12471655328798185,5.176470588235294,8.823571216832661
long_only,2022,2022-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,1940.5145301882505,-2.062598048518227,-2.069607339985835,2.062598048518227,-1.0,37,37.12706043956044,18.91891891891892,0.3308989409817673,-1.1045393649784063,2.887277606074612,-2.0359633248907776,-2.57895433035097,0.20072298325722981,5.702702702702703,19.242711406602748
long_only,2023,2023-01-01 00:00:00+00:00,2023-12-31 23:55:00+00:00,1897.7391658223096,-2.204331052434394,-2.2118165323050665,2.277165602837361,-0.9680152597104862,52,52.17857142857142,23.076923076923077,0.3799225731525015,-0.8226031608834887,2.184045329638208,-1.724597708039998,-2.888064129375841,0.32439117199391176,6.5576923076923075,29.02589687853283
long_only,2024,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00,1883.6812576021093,-0.740771359593495,-0.7412768520381752,1.0945769205633726,-0.6767650090888305,31,31.02123287671233,32.25806451612903,0.6362791624141519,-0.45348091032904725,2.4592360797951165,-1.8404890008643635,-1.1743035033958673,0.13376593806921677,4.548387096774194,16.920817718655538
long_only,2025,2025-01-01 00:00:00+00:00,2025-12-31 23:55:00+00:00,1848.928478361915,-1.844939482194241,-1.8512161181574616,1.844939482194241,-1.0,38,38.130494505494504,26.31578947368421,0.3448369450527923,-0.9145468221103483,1.8291694158865528,-1.894445478537813,-2.7117867031018412,0.19311263318112634,5.342105263157895,22.197210113588287
long_only,2026,2026-01-01 00:00:00+00:00,2026-04-30 23:55:00+00:00,1831.29101631313,-0.9539288433921045,-2.8991200498593384,0.9723013494440602,-0.9811041031029518,13,39.90126050420168,15.384615384615385,0.26256493376177736,-1.3567278499065252,3.139923273643899,-2.1743007814611484,-3.5377257473146355,0.17650462962962962,4.6923076923076925,7.302500616645924
short_only,2021,2021-05-01 00:00:00+00:00,2021-12-31 23:55:00+00:00,1967.832106585476,-1.6083946707262098,-2.398000454977167,1.6083946707262098,-1.0,23,34.42930327868853,13.043478260869565,0.2521580331358461,-1.3986040615010453,3.6154664991333045,-2.150714645596198,-3.1077056775072753,0.15306122448979592,4.695652173913044,9.97297475806191
short_only,2022,2022-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,1949.1873022305629,-0.9474794263452213,-0.9507176172192766,1.419190251753677,-0.6676197396187241,49,49.168269230769226,34.69387755102041,0.6829508003849448,-0.3805062113247866,2.362499179505696,-1.8377278252034808,-1.0985569169073301,0.2644596651445967,5.673469387755102,23.65463880680408
short_only,2023,2023-01-01 00:00:00+00:00,2023-12-31 23:55:00+00:00,1885.91905135207,-3.245878464634544,-3.256841512557551,3.245878464634544,-1.0,38,38.130494505494504,15.789473684210526,0.07596337953228746,-1.6649539704866305,0.8668614149718823,-2.139669355260102,-4.927168185932986,0.21023592085235918,5.815789473684211,22.08468061889025
short_only,2024,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00,1863.7218253803828,-1.1769978120626856,-1.177799208714858,1.3510773444786794,-0.8711550207488947,36,36.02465753424657,27.77777777777778,0.530853952751457,-0.6165896103246487,2.5116880375089052,-1.8197733210298617,-1.5258731187031964,0.15843199757134183,4.638888888888889,18.51912369645066
short_only,2025,2025-01-01 00:00:00+00:00,2025-12-31 23:55:00+00:00,1863.8492044283737,0.006834659886267858,0.006858131363762787,0.8507637277596514,0.008033558158697983,33,33.113324175824175,39.39393939393939,1.004375248996796,0.0038599711512332185,2.2493025431908165,-1.455677700674496,0.01276915732816193,0.15220700152207,4.848484848484849,15.630137864248663
short_only,2026,2026-01-01 00:00:00+00:00,2026-04-30 23:55:00+00:00,1855.7583075639138,-0.4340961084854156,-1.3264081691723328,0.6106199298878123,-0.7109104816889468,11,33.7626050420168,18.181818181818183,0.3681714608654245,-0.7355360785872155,2.357314630310657,-1.422836236120076,-1.5498287193953333,0.2199074074074074,6.909090909090909,5.931229697361992
both,2021,2021-05-01 00:00:00+00:00,2021-12-31 23:55:00+00:00,1949.5140363697883,-2.524298181510587,-3.754887130761886,2.524298181510587,-1.0,40,59.87704918032787,15.0,0.2669173236517533,-1.2621490907553095,3.063678611095371,-2.025530449905429,-2.7948162390108693,0.2777777777777778,4.9,18.684929729456403
both,2022,2022-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,1887.9626226601504,-3.157269584180755,-3.167938278212412,3.2145701494044054,-0.9821747348601906,85,85.2918956043956,27.058823529411764,0.47918268724364393,-0.7241342789369196,2.462214601903026,-1.9061669282807705,-2.7284006592150507,0.4518645357686453,5.588235294117647,41.40884739646908
both,2023,2023-01-01 00:00:00+00:00,2023-12-31 23:55:00+00:00,1787.166077886492,-5.338905737002109,-5.356739839381175,5.37852673814101,-0.9926334843967709,89,89.30563186813187,20.224719101123593,0.23026449475959695,-1.1325454468950134,1.6751688872205635,-1.8443603485017792,-5.408631329978796,0.5203576864535769,6.146067415730337,48.34080640568317
both,2024,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00,1752.459613511079,-1.9419831656863784,-1.9433002824638779,2.114715154618396,-0.918319028189313,66,66.04520547945205,30.303030303030305,0.5741305674060526,-0.5258555208395955,2.339454367873454,-1.7716424289757042,-1.9558068191293434,0.2817622950819672,4.5,32.773033130895534
both,2025,2025-01-01 00:00:00+00:00,2025-12-31 23:55:00+00:00,1722.1146570328688,-1.7315638114714482,-1.7374581572100256,1.905154893199934,-0.9088834811552152,71,71.24381868131867,32.3943661971831,0.6013035900157584,-0.42739375321422945,1.9898033356236482,-1.5856340249490462,-1.6664744511597214,0.3472222222222222,5.140845070422535,35.240256465750676
both,2026,2026-01-01 00:00:00+00:00,2026-04-30 23:55:00+00:00,1700.721526967848,-1.2422593337588994,-3.7641099684648127,1.2605783560772799,-0.9854677638799175,23,70.59453781512605,17.391304347826086,0.3221627964080635,-0.9301360897835032,2.5419343203451277,-1.6610982813895305,-3.2287894072446486,0.38773148148148145,5.826086956521739,11.69643788496054
