symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,notional,margin_used,leverage,gross_pnl,fees,funding_pnl,net_pnl,r_multiple,bars_held,exit_reason,variant
BTCUSDT,long,2021-05-03 13:15:00+00:00,2021-05-03 13:20:00+00:00,58722.8070325,58527.277053875536,0.013623326956377304,800.0,400.0,2,-2.663768828574552,0.6389344924685703,0.0,-3.302703321043122,-1.3401734801244347,1,stop_loss,both
BTCUSDT,long,2021-05-07 20:05:00+00:00,2021-05-07 20:20:00+00:00,57864.58253000001,57854.39973849045,0.01100571567758542,636.8411431273564,318.4205715636782,2,-0.11206890815830867,0.5094280869386218,0.0,-0.6214969950969305,-0.20750833426467016,3,stop_loss,both
BTCUSDT,short,2021-05-10 12:30:00+00:00,2021-05-10 12:35:00+00:00,57845.674965,58242.669630256976,0.007829024680152992,452.875216941093,226.4376084705465,2,-3.1080810321859556,0.3635434059657488,0.0,-3.4716244381517045,-1.1594831681580906,1,stop_loss,both
BTCUSDT,short,2021-05-23 11:20:00+00:00,2021-05-23 11:25:00+00:00,34817.3234925,35412.83642113187,0.005094767699132146,177.38617509982384,88.69308754991192,2,-3.034000033209237,0.1431225400931428,0.0,-3.1771225733023796,-1.062971633728379,1,stop_loss,both
BTCUSDT,long,2021-05-31 13:20:00+00:00,2021-05-31 13:35:00+00:00,36954.53632500001,36771.607007207065,0.01191063932112294,440.1521534464111,220.07607672320555,2,-2.1788051254908214,0.3512502007069326,0.0,-2.530055326197754,-0.8478338265948211,3,stop_loss,both
BTCUSDT,long,2021-06-03 08:10:00+00:00,2021-06-03 08:30:00+00:00,38769.70000250001,38760.00757749938,0.016152348771351386,626.2217162010428,313.1108581005214,2,-0.15655542905029018,0.5009147507892141,0.0,-0.6574701798395043,-0.22060200091487775,4,stop_loss,both
BTCUSDT,short,2021-06-17 16:10:00+00:00,2021-06-17 16:20:00+00:00,38801.037315,38554.39443425614,0.016035102225857377,622.1785998153316,311.0892999076658,2,3.9549438060078126,0.4961609023298622,0.0,3.4587829036779505,1.160915004248374,2,take_profit,both
BTCUSDT,short,2021-06-20 14:05:00+00:00,2021-06-20 14:10:00+00:00,33810.445275000005,34069.867222644825,0.011895053179296448,402.1770445618174,201.0885222809087,2,-3.0858378631117898,0.32297597079469864,0.0,-3.4088138339064886,-1.1421543378893733,1,stop_loss,both
BTCUSDT,long,2021-06-29 08:25:00+00:00,2021-06-29 08:45:00+00:00,34988.364905,35003.42862921857,0.014744283518941371,515.8783720234982,257.9391860117491,2,0.22210382072973087,0.4127915391470905,0.0,-0.19068771841735963,-0.06400131796118595,4,stop_loss,both
BTCUSDT,short,2021-07-19 16:00:00+00:00,2021-07-19 16:45:00+00:00,30665.321752500004,30737.23674986463,0.019962626216056052,612.1603559402505,306.08017797012525,2,-1.435612211718709,0.4903025296368879,-0.0075307161655651525,-1.933445457521162,-0.6489927051058594,9,stop_loss,both
BTCUSDT,short,2021-07-30 11:45:00+00:00,2021-07-30 11:55:00+00:00,38706.6509175,38716.32758022938,0.017505129104718253,677.5649215220988,338.7824607610494,2,-0.16939123038054923,0.5421196937098314,0.0,-0.7115109240903805,-0.2390630463020847,2,stop_loss,both
BTCUSDT,long,2021-08-01 00:50:00+00:00,2021-08-01 01:15:00+00:00,41746.5240225,41736.08739149438,0.014853321747802602,620.074553158563,310.0372765792815,2,-0.15501863828958382,0.4959976350715346,0.0,-0.6510162733611184,-0.21881570294161246,5,stop_loss,both
BTCUSDT,short,2021-08-03 08:05:00+00:00,2021-08-03 08:15:00+00:00,38436.22854,38554.26120619333,0.01829405962575325,703.1546566998387,351.57732834991936,2,-2.1592966331275165,0.5633874440131219,0.0,-2.722684077140639,-0.9154327829594661,2,stop_loss,both
BTCUSDT,long,2021-08-07 11:25:00+00:00,2021-08-07 12:05:00+00:00,43700.2323275,43972.05675141059,0.014485237416416817,633.0082404164108,316.5041202082054,2,3.937441315925647,0.5079815688594989,0.0,3.4294597470661485,1.1546535103552946,8,take_profit,both
BTCUSDT,long,2021-08-09 15:15:00+00:00,2021-08-09 16:10:00+00:00,45895.54101750001,45884.06713224563,0.010446199896249736,479.4339958153341,239.71699790766704,2,-0.11985849895382494,0.38349925325268575,-0.04805676067990666,-0.5514145128864174,-0.1853329437479036,11,stop_loss,both
BTCUSDT,short,2021-08-31 04:50:00+00:00,2021-08-31 05:20:00+00:00,47120.1670125,47195.9909928429,0.016833201771069718,793.1832788079159,396.59163940395797,2,-1.276360360197577,0.6350571671904118,0.0,-1.911417527387989,-0.8980098490827787,6,stop_loss,both
